pid,assignees,review_count_expected,product_url,review_url
MOBF22VTC5PCHKDB,Chinmoy,11038,https://www.flipkart.com/infinix-hot-s3-sandstone-black-32-gb/p/itmf5fhmgpg3mzuj?pid=MOBF22VTC5PCHKDB&lid=LSTMOBF22VTC5PCHKDBJK9REU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_4_80&otracker=browse&fm=organic&iid=27c41e10-27ed-4abd-98f6-f641d6084a85.MOBF22VTC5PCHKDB.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-hot-s3-sandstone-black-32-gb/product-reviews/itmf5fhmgpg3mzuj?pid=MOBF22VTC5PCHKDB&lid&marketplace=FLIPKART
MOBFJJJVH6QYNE3P,Chinmoy,33159,https://www.flipkart.com/infinix-hot-8-quetzal-cyan-64-gb/p/itm176568dde7f63?pid=MOBFJJJVH6QYNE3P&lid=LSTMOBFJJJVH6QYNE3PL86ZA6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_56&otracker=browse&fm=organic&iid=5bfb90c6-b603-4b4d-9dd1-723d2ca6e30a.MOBFJJJVH6QYNE3P.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-hot-8-quetzal-cyan-64-gb/product-reviews/itm176568dde7f63?pid=MOBFJJJVH6QYNE3P&lid&marketplace=FLIPKART
MOBFQ3DPMQHHTMBZ,Chinmoy,7454,https://www.flipkart.com/infinix-hot-9-violet-64-gb/p/itm9d816e65b5dc4?pid=MOBFQ3DPMQHHTMBZ&lid=LSTMOBFQ3DPMQHHTMBZTNJSFM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_4_96&otracker=browse&fm=organic&iid=27c41e10-27ed-4abd-98f6-f641d6084a85.MOBFQ3DPMQHHTMBZ.SEARCH&ppt=browse&ppn=browse&ov_redirect=true.MOBFTGWBCSZ3QGJW.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-hot-9-violet-64-gb/product-reviews/itm9d816e65b5dc4?pid=MOBFQ3DPMQHHTMBZ&lid&marketplace=FLIPKART
MOBFTGWBPGDPZYGH,Chinmoy,13892,https://www.flipkart.com/infinix-smart-4-plus-ocean-wave-32-gb/p/itmd387f45cb474a?pid=MOBFTGWBPGDPZYGH&lid=LSTMOBFTGWBPGDPZYGH2E67R5&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_68&otracker=browse&fm=organic&iid=5bfb90c6-b603-4b4d-9dd1-723d2ca6e30a.MOBFTGWBPGDPZYGH.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-smart-4-plus-ocean-wave-32-gb/product-reviews/itmd387f45cb474a?pid=MOBFTGWBPGDPZYGH&lid&marketplace=FLIPKART
MOBFVX6YBHTKJC8B,Chinmoy,8099,https://www.flipkart.com/infinix-hot-10-obsidian-black-128-gb/p/itm80ea670ef0bfc?pid=MOBFVX6YBHTKJC8B&lid=LSTMOBFVX6YBHTKJC8BHLDFY0&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_70&otracker=browse&fm=organic&iid=5bfb90c6-b603-4b4d-9dd1-723d2ca6e30a.MOBFVX6YBHTKJC8B.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-hot-10-obsidian-black-128-gb/product-reviews/itm80ea670ef0bfc?pid=MOBFVX6YBHTKJC8B&lid&marketplace=FLIPKART
MOBFVX6YHMSDNJZH,Chinmoy,6065,https://www.flipkart.com/infinix-hot-10-amber-red-64-gb/p/itm05a303fc89d2e?pid=MOBFVX6YHMSDNJZH&lid=LSTMOBFVX6YHMSDNJZHACZZRN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_60&otracker=browse&fm=organic&iid=5bfb90c6-b603-4b4d-9dd1-723d2ca6e30a.MOBFVX6YHMSDNJZH.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-hot-10-amber-red-64-gb/product-reviews/itm05a303fc89d2e?pid=MOBFVX6YHMSDNJZH&lid&marketplace=FLIPKART
MOBFVX6YN68E5ZF3,Chinmoy,8099,https://www.flipkart.com/infinix-hot-10-amber-red-128-gb/p/itm80ea670ef0bfc?pid=MOBFVX6YN68E5ZF3&lid=LSTMOBFVX6YN68E5ZF3FHFQ9K&marketplace=FLIPKART&store=tyy%2F4io&srno=b_4_83&otracker=browse&fm=organic&iid=27c41e10-27ed-4abd-98f6-f641d6084a85.MOBFVX6YN68E5ZF3.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-hot-10-amber-red-128-gb/product-reviews/itm80ea670ef0bfc?pid=MOBFVX6YN68E5ZF3&lid&marketplace=FLIPKART
MOBFWXRGJRMJ6QP6,Chinmoy,2777,https://www.flipkart.com/infinix-smart-4-quetzal-cyan-32-gb/p/itmd9ddf46c665b0?pid=MOBFWXRGJRMJ6QP6&lid=LSTMOBFWXRGJRMJ6QP6WQEKOI&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_46&otracker=browse&fm=organic&iid=c040268c-b93b-4844-b3d8-a61c662aba4f.MOBFWXRGJRMJ6QP6.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-smart-4-quetzal-cyan-32-gb/product-reviews/itmd9ddf46c665b0?pid=MOBFWXRGJRMJ6QP6&lid&marketplace=FLIPKART
MOBFY7MZTGYEA4HT,Chinmoy,3934,https://www.flipkart.com/infinix-smart-hd-2021-quartz-green-32-gb/p/itm14159edd6bd3d?pid=MOBFY7MZTGYEA4HT&lid=LSTMOBFY7MZTGYEA4HTCRGN7T&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_44&otracker=browse&fm=organic&iid=c040268c-b93b-4844-b3d8-a61c662aba4f.MOBFY7MZTGYEA4HT.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-smart-hd-2021-quartz-green-32-gb/product-reviews/itm14159edd6bd3d?pid=MOBFY7MZTGYEA4HT&lid&marketplace=FLIPKART
MOBG2T89RJKSVZBG,Chinmoy,3901,https://www.flipkart.com/infinix-hot-10s-95-black-64-gb/p/itm3a70709f4ec55?pid=MOBG2T89RJKSVZBG&lid=LSTMOBG2T89RJKSVZBGHLYDPL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_72&otracker=browse&fm=organic&iid=5bfb90c6-b603-4b4d-9dd1-723d2ca6e30a.MOBG2T89RJKSVZBG.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-hot-10s-95-black-64-gb/product-reviews/itm3a70709f4ec55?pid=MOBG2T89RJKSVZBG&lid&marketplace=FLIPKART
MOBG3KHEBF7PPT6Z,Chinmoy,5640,https://www.flipkart.com/infinix-note-10-emerald-green-128-gb/p/itmd04ff59c20eee?pid=MOBG3KHEBF7PPT6Z&lid=LSTMOBG3KHEBF7PPT6ZM6OUMM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_55&otracker=browse&fm=organic&iid=5bfb90c6-b603-4b4d-9dd1-723d2ca6e30a.MOBG3KHEBF7PPT6Z.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-note-10-emerald-green-128-gb/product-reviews/itmd04ff59c20eee?pid=MOBG3KHEBF7PPT6Z&lid&marketplace=FLIPKART
